PI,BLUP
PI_329435,29.01905706
PI_533750,32.17445334
PI_533752,39.65023545
PI_533754,28.09675401
PI_533757,28.72092857
PI_533758,40.10999109
PI_533759,35.11150255
PI_533761,33.51117601
PI_533766,36.60934064
PI_533769,36.08920827
PI_533785,32.35961386
PI_533792,25.72941218
PI_533794,29.87087801
PI_533799,28.57773118
PI_533800,41.40283144
PI_533807,35.8775457
PI_533810,28.3730989
PI_533814,31.58106677
PI_533821,27.9754894
PI_533824,34.21381417
PI_533830,33.69118134
PI_533842,35.35477886
PI_533845,31.75042042
PI_533852,36.27032808
PI_533856,30.41635247
PI_533863,33.47226774
PI_533866,30.42411362
PI_533869,36.80448857
PI_533871,35.68540465
PI_533877,39.85849819
PI_533902,36.72234793
PI_533903,34.85687984
PI_533910,31.53486511
PI_533911,30.60021541
PI_533912,30.21908122
PI_533915,47.64485208
PI_533919,29.66355657
PI_533921,46.32309172
PI_533924,36.2994553
PI_533936,37.40727276
PI_533937,39.56302245
PI_533938,29.83256012
PI_533940,48.80260464
PI_533949,39.11925061
PI_533954,33.38143724
PI_533955,33.96031452
PI_533956,34.25536533
PI_533957,29.95374608
PI_533961,29.86429181
PI_533962,37.26910031
PI_533964,29.28057066
PI_533965,34.36264249
PI_533967,24.71062468
PI_533972,32.79335895
PI_533976,37.39732465
PI_533980,37.66568747
PI_533985,44.98222132
PI_533986,42.8685053
PI_533987,35.61958841
PI_533991,36.29748928
PI_533996,29.4067971
PI_533997,31.57233761
PI_533998,37.96992874
PI_534009,35.28738342
PI_534021,37.22321322
PI_534028,29.20634088
PI_534037,39.19399899
PI_534046,30.84731503
PI_534054,29.91916942
PI_534063,32.49865136
PI_534070,30.52797457
PI_534079,32.45984196
PI_534097,29.81743018
PI_534099,30.71943535
PI_534101,38.8337047
PI_534104,33.64201459
PI_534105,36.13572449
PI_534108,32.62424122
PI_534112,31.88914336
PI_534114,30.23230953
PI_534116,26.31258361
PI_534117,36.06683964
PI_534123,30.4127743
PI_534124,24.84026457
PI_534127,37.21932048
PI_534137,38.07658732
PI_534138,30.29968837
PI_534145,32.49401153
PI_534148,33.66179283
PI_534155,50.47109778
PI_534163,33.98001412
PI_542406,41.84729431
PI_548797,31.70272458
PI_552861,29.74735247
PI_561072,32.2715358
PI_564165,30.4789508
PI_574455,29.31407922
PI_576333,31.94729847
PI_576339,33.07725339
PI_576340,37.73371204
PI_576345,23.17108257
PI_576347,30.27385476
PI_576348,35.15408672
PI_576349,37.95787855
PI_576350,40.65159248
PI_576352,34.78065524
PI_576359,36.24185099
PI_576366,35.40613151
PI_576373,37.70623788
PI_576375,35.39767759
PI_576376,31.2319002
PI_576380,28.75364328
PI_576381,32.52951799
PI_576387,37.04679062
PI_576390,29.72725966
PI_576393,31.40294464
PI_576394,34.76221802
PI_576396,35.62656257
PI_576401,24.69469986
PI_576422,32.105721
PI_576425,31.06913274
PI_576428,31.11519678
PI_585291,33.06801306
PI_585295,28.62030726
PI_595702,33.76410493
PI_595718,31.64138451
PI_595720,34.01520603
PI_595739,32.2874299
PI_595740,27.05991017
PI_595741,34.62723054
PI_595743,29.07465633
PI_595744,29.92423193
PI_597945,33.64563208
PI_597946,30.39491546
PI_597949,35.02661239
PI_597950,32.6630181
PI_597952,31.86464665
PI_597957,31.47376096
PI_597958,34.24843189
PI_597964,24.6035548
PI_597965,37.39079744
PI_597966,30.59022799
PI_597968,33.51107713
PI_597971,31.43381128
PI_597972,36.7456257
PI_597973,35.77271709
PI_597976,38.58370458
PI_597982,30.25238574
PI_607931,34.79052882
PI_613536,36.19596359
PI_629059,30.08885163
PI_642791,29.70609431
PI_642793,42.61777775
PI_655974,39.95445668
PI_655975,35.44533411
PI_655976,33.14913138
PI_655977,30.95539802
PI_655979,28.87573362
PI_655992,31.40793835
PI_655993,32.90860751
PI_655997,29.46212113
PI_656000,26.12290123
PI_656002,33.49137753
PI_656003,36.37624836
PI_656004,29.33023997
PI_656005,28.91277359
PI_656006,30.25010514
PI_656007,29.2268269
PI_656008,32.2501061
PI_656009,33.55421178
PI_656010,37.26512893
PI_656011,34.2494386
PI_656014,49.10053879
PI_656016,28.57622891
PI_656018,31.90554003
PI_656019,41.22781563
PI_656020,34.19140145
PI_656024,33.33358412
PI_656026,32.5327816
PI_656027,31.05865381
PI_656030,31.71031345
PI_656031,29.68510802
PI_656033,36.37101872
PI_656034,47.46148091
PI_656036,33.98740639
PI_656037,31.16446544
PI_656039,31.13757018
PI_656044,27.37014938
PI_656046,31.22431133
PI_656048,31.10060885
PI_656051,37.71129932
PI_656053,26.53702536
PI_656055,24.91572072
PI_656056,31.16356107
PI_656058,28.27154175
PI_656059,30.10178799
PI_656060,37.86492475
PI_656061,26.70814844
PI_656062,31.41983282
PI_656068,28.68373132
PI_656069,35.03978185
PI_656070,39.63029992
PI_656071,35.04760365
PI_656075,29.1467895
PI_656076,36.91494003
PI_656077,35.73941257
PI_656079,33.43621078
PI_656081,40.04654737
PI_656082,34.08039951
PI_656085,28.85744956
PI_656086,29.70177994
PI_656087,31.15141102
PI_656089,39.54560344
PI_656093,36.47274101
PI_656094,36.86972138
PI_656096,27.95097303
PI_656097,30.21695791
PI_656100,31.94615534
PI_656102,37.39323532
PI_656104,39.90558034
PI_656105,32.94706302
PI_656106,32.04619499
PI_656108,21.84420617
PI_656109,37.09723014
PI_656110,28.99047101
PI_656112,24.74881224
PI_656114,30.91053327
PI_656116,37.28950768
PI_656118,31.51788881
PI_656119,33.85096405
PI_656121,29.46487357
PI_659693,35.62793878
PI_659695,31.20661033
PI_659696,39.21071023
PI_659753,29.49259456
